PatentNum,Date,Title,Text
3703998,1972,DRONE AIRCRAFT WITH TELESCOPIC FUSELAGE,"A drone type aircraft having a telescopic fuselage and folding aerodynamic surfaces to facilitate installation in a limited capacity bomb bay or storage compartment of a launch aircraft. Prior to launch, the drone is lowered from the aircraft on a supporting frame, the aerodynamic surfaces are extended, and the nose section of the fuselage is extended. The added fuselage capacity is used as fuel tankage, which is filled from the launch aircraft to increase the operating range of the drone."
3669385,1972,AIRCRAFT OF IMPROVED AND SIMPLIFIED CONSTRUCTION,An aircraft of improved of simplified construction having forward and aft generally cylindrical and substantially identical fuselage sections that are connected to a central fuselage section that houses an engine that has an inlet located above the forward fuselage section for powering the aircraft in flight. The central long axis of the aft fuselage section is located above the central long axis of the forward fuselage section. Wings are connected to the central fuselage section and a tail assembly is connected to the aft portion of the aft fuselage section. Many of the component parts of the aircraft are interchangeable and the aircraft is especially suited for use as a drone for towing aerial targets.
4037807,1977,Flight vehicle,"A flight vehicle comprises a vehicle body with a duct having a longitudinal axis extending through the body, and a fan for inducing a flow of ambient air through the duct from an inlet end to an outlet end to provide a thrust acting along the axis of the duct. A system of control is provided for varying the attitude of the vehicle without re-directing or substantially re-directing the thrust whereby the vehicle is capable of controlled flight from a take-off mode in which the axis of the duct is vertical or substantially vertical, to a forward flight mode in which the axis of the duct is inclined to the vertical. A pair of wings are provided on the outer surface of the body, the wings being on opposite sides of the body and having no or substantially no dihedral."
4445652,1984,Adjustable rocket thrust alignment device,"An alignment device for adjusting the takeoff assist thrust vector of a rocket booster in a desired relationship to the center of gravity of an autonomous missile. The device provides for using ""plumb bob type"" hanging tool prior to installing the rocket booster on the missile."
4553718,1985,Naval harrassment missile,"A naval harrassment missile for autonomously flying to a designated target area such as an enemy naval warship. The missile designed for searching, finding and harrassing the target. The missile may send a homing signal to guide other missiles to the target or by a homing signal attack the target using either a high explosive or a self-forging fragmentation warhead."
4666105,1987,Unmanned aircraft,"An unmanned craft having a fuselage, a propeller drive with a propeller being arranged in the tail portion of the fuselage for purposes of cruising, and a rocket assist propulsion system for the takeoff phase is releasably mounted to the fuselage, the improvement includes three spring biased thrust rods being secured to the frame and releasably engaging peripheral points of the craft. The thrust rods are radially pivotal in outer direction. Support points on the wings and the rudder engage front ends of the rods in contourmatching relationship but are disengageable therefrom."
4659038,1987,Aircraft with deployable wing portions,"The deployment of folded down wings in an aircraft following, for example, rocket assisted launching from the container is carried out through gas pressure springs with strong attenuation in the final phase, the springs being releasably coupled to the wings for being jettisoned upon completion of deployment."
4786008,1988,Nuclear powered drone,"An unmanned aircraft is equipped with a helium-cooled Brayton cycle nuclear reactor. Heated helium gas drives turbines which in turn rotate propellers to maintain the aircraft aloft for a protracted period of time. After the helium gas expands in the turbines, it is passed through a closed loop including radiator tubes which radiate waste heat from the helium gas to space. The cooled helium gas is returned through the closed loop for repeat of the Brayton cycle."
4795111,1989,Robotic or remotely controlled flying platform,"A flying platform, propelled by at least one ducted fan causing a vertically downwardly directed airstream in and through a cylindrical duct. A vane system in the duct has two mutually perpendicular pairs of diametrically opposite first vanes, each extending in from the duct rim toward the center of the duct. Each pair of first vanes provides a pair of generally vertical walls parallel to a diametral line across the duct, and they define duct passages between the pairs of vanes and define quadrants between adjacent pairs. Each first vane has an upper, fixed, rigid portion and a variable camber flap depending therefrom. A first servomotor with linkages vary the camber of each pair of flaps, so that the camber of the flaps of each pair is at all times the same amount but in opposite directions. Preferably, there are also four second vanes, one bisecting each quadrant, and a symmetric pair of spoilers is mounted on each second vane. Each pair of spoilers is independently movable, as a pair continuously between a position substantially blocking airflow through the outer portion of said quadrant and a position permitting substantially full airflow therethrough. A second servomotor with linkages symmetrically varies the position of its spoilers. There may be a radio receiver responsive to remote control signals for actuating each servomotor and its linkages."
5058824,1991,Servo control system for a co-axial rotary winged aircraft,"A servo control system for a radio controlled co-axial rotor helicopter includes a receiver to provide signals indicative of operator desired pitch, yaw, roll, and collective commands to an electronic mixer unit which translates these command signals into six control signals - utilized by servos - to properly displace the rotor blades , ."
5351913,1994,"Coaxial transmission/center hub subassembly for a rotor assembly having      ducted, coaxial counter-rotating rotors","One embodiment of a coaxial transmission/center hub subassembly for a rotor assembly having ducted, coaxial counter-rotating rotors includes a single stage transmission, a transmission housing, and a center hub support structure that are structurally and functionally interactive. The transmission housing includes upper and lower standpipe housings secured in combination with a middle housing. The single stage transmission includes an input pinion gear rotatably mounted in combination with the middle housing, and upper and lower spiral bevel gears rotatably coupled in combination with the input pinion gear to provide counter-rotation thereof. The spiral bevel gears include integral rotor shafts, respectively, rotatably mounted in the standpipe housings. The hub support structure is configured for securement of the middle housing internally in combination therewith, with respective surfaces thereof in abutting engagement so that dynamic loads of the rotors and thermal loads are directly coupled into the hub support structure via the middle housing while bending moments of the rotors are canceled in the middle housing. The hub support structure has radially extending arms for mounting the coaxial transmission/center hub subassembly in fixed coaxial relation to an airframe structure and for coupling the dynamic and thermal loads to the airframe structure. External surfaces of the standpipe housings function as sliding surfaces for linear motion of swashplate subassemblies to minimize the separation between the rotors so that the airframe structure has a compact aerodynamic and structural envelope. The transmission housing is internally configured to provide a splash lubrication subsystem."
5364230,1994,"Rotor blade subassembly for a rotor assembly having ducted, coaxial      counter-rotating rotors","A rotor blade subassembly for a rotor assembly having ducted, coaxial counter-rotating rotors includes a flexbeam, an integrated torque tube/spar member, and an aerodynamic fairing or rotor blade. The flexbeam is a laminated composite structure that reacts centrifugal loads and a majority of the bending loads of the rotor assembly. The flexbeam has a spanwise predetermined linear twist so that the pretwisted flexbeam is unstrained during specified forward flight conditions. The integrated torque tube/spar member is formed as a continuous, filament wound tubular composite structure having high torsional and bending stiffness that provides a continuous torsional load path and facilitates load coupling between the rotor blade and the pretwisted flexbeam. The spar segment of the functions as the primary structural member of the rotor blade subassembly and, is operative to react all bending, torsional, shear, and centrifugal dynamic loads of the rotor assembly. The torque tube segment reacts all torsional loads and some of the bending loads of the rotor assembly. The rotor blade is fabricated from a high modulus composite material and has a high aerodynamic taper such that the tapered rotor blade has a low outboard mass, a high inboard stiffness, and a high chordwise frequency. The high chordwise frequency allows the rotor assembly to be operated over a weaker modal response zone. The tapered rotor blade includes a triangularly shaped trailing edge segment that is responsive to the aerodynamic pressures encountered during operation of the shrouded counter-rotating rotors."
5277380,1994,"Toroidal fuselage structure for unmanned aerial vehicles having ducted,      coaxial, counter-rotating rotors","An unmanned aerial vehicle having a toroidal fuselage structure that surrounds a pair of coaxial, multi-bladed, counter-rotating rotors. The toroidal fuselage structure is optimized to provide a highly efficient structure for reacting aerodynamic flight loads and rotor thrust loads of the UAV. The toroidal fuselage structure is further optimized to provide weight efficiency for minimizing power requirements."
