PatentNum,Date,Title,Text
9565872,2017,"Combination juicer blender","A juicer and a blender share a common base. The juicer and blender may share a common motor. The juicer has a spout that discharges into the blender."
10130118,2018,"Fruit-squeezing machine","Fruit-squeezing machine with automatic fruit () feeder () and cutting and squeezing means that have a pair of rotating assemblies of three fruit () receiving cups () and a cutting assembly () with a blade () and means for extracting the rinds after squeezing the fruit, and a pair of squeezing balls () below the cup assemblies (). Additionally, the machine has a juice-collecting tray () with a fixed? filter (), and rind-collecting means. The cup assemblies () rotate towards the inside of the machine, which has motor means that synchronize the continuous movements of the feeder () with the movement of the cutting and squeezing means."
8511225,2013,"Automated juice extractor","An automatic juicer turns and pushes an upward facing juicing cone into a fruit for releasing and collecting juice. The juicer includes a base containing a motor, gear and shaft assembly which rises as a unit with the juicing cone. A fixed guide extends upward from the base and inner and outer shafts reside inside the fixed guide and are driven by the motor and gear assembly to rotate and advance the juicing cone into the fruit. The juicing cone, strainer and a bowl release and catch the juice. The outer shaft includes threads to vertically advance and retreat the outer and inner shafts when the outer shaft turns. The inner shaft rises with the outer shaft and lifts and rotates the juicing cone, thereby releasing juice from the fruit. The bowl is fixed to the base."
7395753,2008,"Comestible product press","A comestible product press comprising a first handle having first and second ends; a second handle having first and second ends, wherein the first and second handles are hingedly connected to one another at their first ends; a first protrusion on the first handle, the first protrusion extending toward the second handle when the first and second handles are positioned to define an acute angle therebetween; a second protrusion on the second handle, the second protrusion extending away from the first handle when the first and second handles are positioned to define an acute angle therebetween; and an intermediate member connected to at least one of the first and second handles, wherein the intermediate member substantially fills the space between the first and second protrusions when the first and second handles are brought together."
7493851,2009,"Reduced size citrus fruit juicing machine","This invention is a reduced size citrus fruit juicing machine that uses sets of rotating male-female drums characterized by having one sole female drum and one sole male drum with an automatically positioning blade and a retaining pendulum--turning device. These characteristics avoid having to incorporate a second set of drums into the machine since the remaining half of the fruit is turned after the cut into the following upper cavity of the female drum. In addition to maintaining the performance of similar machines of greater size, it improves hygienic conditions due to an appropriate disposition of the retaining pendulum, a ribbed opening for the fruit, a peel collector and an integrated customized juice container which are isolated from the outside, all of which make it especially attractive to hotels and restaurants that do not have much available space."
8082841,2011,"Automatic squeezing machine","A squeezing machine whose actual squeezing element is formed mainly of a cone or rotating head which, apart from the rotating movement, has upward or downward movement depending on the point in the squeezing operation, on which there is a set of blades in the form of fins in such a way that the fruit is deposited on said blades and when these are pushed by the rotating cone in its upward path exert pressure on the fruit, slicing this vertically and guiding it towards the cone for crushing the pulp, as the fruit cannot escape through being trapped in the recess inside a dome that may consist of two parts, one of them moving, in such a way that as it moves it leaves open a hole communicating the squeezing element with a bin containing the fruit to be squeezed, allowing in a fruit previously aligned with said hollow by means of a pulling system."
10285528,2019,"Citrus lid for blender","A lid for a blender jug incorporated a citrus juicer that is capable of discharging into the interior of the jug."
7117784,2006,"Juicer and grater assembly","The invention provides a juicer and grater assembly comprising an extractor having a plurality of radially extending tabs integral with a lower portion thereof, a combination grater and strainer having at least a plurality of first apertures and a plurality of second apertures, wherein the extractor is removably secured on the combination grater and strainer in either a first position wherein the plurality of radially extending tabs cover the plurality of first apertures for allowing extracted juice to flow through the plurality of second apertures, or in a second position wherein the plurality of radially extending tabs cover the plurality of second apertures allowing juice and pulp to flow through the plurality of first apertures."
7337711,2008,"System for juicing fruits","Devices for extracting and filtering juice from fruit of various sizes and shapes are shown and described. In one particular embodiment, the device has an inner juicing cup, an outer juicing head, and a collection vessel. The inner juicing cup has an inner juicing head. The outer juicing head couples with the inner juicing cup. When coupled together, the outer juicing head encloses the inner juicing head. In addition, the collection vessel couples with the inner juicing cup. In another embodiment, the inner and outer juicing heads have teeth and blades, respectively, of varying degrees of sharpness. In another embodiment, the inner juicing cup has a drainage region for allowing juice to flow into the collection vessel, a first filtering region for filtering juice flowing from the heads to an external container, and a second filtering region for filtering juice flowing from the collection vessel to the external container."
8205544,2012,"Automatic juicer","An automatic juicer turns and pushes an upward facing juicing cone into a fruit for releasing juice. The juicer includes a base containing a motor, gear and shaft assembly. A fixed guide extends upward from the base and inner and outer shafts reside inside the fixed guide and are driven by the motor and gear assembly to rotate and advance the juicing cone into the fruit. The inner shaft includes threads to vertically advance and retreat a shaft nut and the outer shaft rotates with the inner shaft, but is lifted by the shaft nut when the inner shaft turns. The juicing cone releases the juice and a stationary bowl catches the juice."
10420361,2019,"Citrus press drinking vessel","An improved hand operated citrus press is provided in direct operational combination with a liquid drinking vessel. The citrus press is provided removably connected to, and in fluid communication with, the liquid drinking vessel. The fluid contained within the drinking vessel can be infused with the essences from the ground or comminuted fruit from the citrus press. The fluid communication between the comminuting volume of the citrus press grinder assembly and the container allows these all natural ingredients to steep directly with the beverage, creating refreshingly flavored drinks that are as rich and natural in nutrients as its ingredients."
9095169,2015,"Hand operable juicer","A hand operable juicer having a handle extending from beneath a juice receptacle is described. The handle has a drive link end that couples with a drive mechanism to rotate a drive shaft that extends up through a drive shaft conduit and couples with a pulping crown. Gear and crank type drive mechanisms are described. In some embodiments of the invention, the drive mechanism is configured to provide a rotational advantage, whereby a certain degree of rotation of the handle around the pulping crown rotational axis produces a higher degree of rotation of the pulping crown. The hand operable juicer described is easy to operate and easy to clean."
10258202,2019,"Cocktail shaker and tool assembly and method of using same","An assembly including a vessel, lid, citrus reamer, and cap. The lid is configured to engage the vessel in both first and second orientations. The citrus reamer is removably couplable to the lid in both storage and use orientations. The cap is removably attachable to the lid. The vessel, the lid in the first orientation, the citrus reamer (in either the use or storage orientations), and the cap are removably couplable together to form a kit assembly. The vessel, the lid in the first orientation, and the cap are removably couplable together to form a cocktail shaker. The vessel, the lid in the second orientation, and the citrus reamer in the use orientation are removably couplable together to form a first juicing assembly. Cups may be removably housed inside the vessel. One of the cups and the citrus reamer may be removably coupled together to form a second juicing assembly."
