PatentNum,Date,Title,Text
11013252,2021,Peeling machine for peeling nuts,"The present invention relates to the technical field of machines used for peeling nuts, such as almonds and the like which have been previously blanched, the machines having an accessible frame inside which there is a series of rollers arranged in pairs with nuts passing between them and each of them being associated with a rotating shaft, respectively, with movements at different speeds."
10893696,2021,System and method for processing agricultural products,"A system for processing agricultural items includes a first member having a first surface, a first axis, and a partially cylindrical space, the first surface being an inner surface of the partially cylindrical space. The system also includes a substantially arcuate second member having a second surface and a second axis, the second member being disposed at least partially in the partially cylindrical space, and the contoured second surface being an outer surface of the second member. The first surface and the second surface are substantially opposed to each other. One of the first and second surfaces substantially tapers toward another of the first and second surfaces along the first or second axes. The first and second axes are respective first and second circumferential axes."
10687549,2020,Apparatus and method for cracking stone fruit nuts,"Shown is an apparatus and method for cracking stone fruit nuts. The apparatus includes a frame () supporting a set of spaced apart jaw including a first jaw () and a second jaw () defining between them a gap (), which is tapered down from the inlet () to the outlet (). The first jaw () is adjustably secured to the frame () for adjustment of the size of the gap (). The second jaw () is movably supported by the frame () and secured to drive means configured to rotatably move the second jaw () relative to the first jaw () with a tangential motion resulting in the continuously change of the size of the gap (). To crack the shell, the stone fruit nut is located between the jaws and repeatedly pressed and rolled between the jaws from the inlet () to the outlet ()."
10638787,2020,Device and method for peeling beans,"The present invention discloses a device and method for peeling beans and separating the hulls from the peeled beans. The device for peeling beans comprising a rough disc () in a bowl (), driven by an electric motor (), to abrasively impact beans in water. A barrier ring () enables separation of the hulls from the beans and a special filter () gathers the hulls out of the mixture."
10568353,2020,Hard-shelled nut meat extractor,"A system for hard-shelled nut cracking and nut meat extraction having a substantially hollow main housing, a hopper contained in the upper section of the housing, a concentric cylindrical rotor housing in the midsection of the main housing lined with a series of protrusions on the inner walls, a frustoconical shaped rotor, the rotor made up of elongate edged rods evenly spaced to have short rectangular shaped rods fixed in between the interstitials at a lower side of the rotor, the rotor is driven by a motor at the lower section of the main housing that connects to a gearbox which further connects to a vertical drive shaft that translates rotation to the rotor, the rotor and inner wall protrusions of the rotor housing are used for the cracking and meat extraction of hard-shelled nuts which are ejected from the midsection of the main housing to the collection tray."
10653174,2020,Methods and apparatus for hulling crops,"Improved methods and apparatus for dry hulling or dry peeling harvested crops, particularly pistachio nuts, are disclosed. The methods and apparatus of the present invention provide crop harvesting with great efficiency resulting in consistently high percentages of hulled or peeled crops and low percentages of nut breakage, without increasing processing times regardless of the sizes of the crops being hulled or peeled. The methods and apparatus of the present invention also provide for a relatively small overall machine footprint, plus easy and efficient removal and replacement of the impingement drum to accommodate for different drum speeds, different crop sizes, different bolt patterns, different bolt sizes, and other variations allowing embodiments of the invention to be used on a wide range of nuts and vegetables of different varieties, sizes and shapes."
10779686,2020,Nut-cracker device,"A device for cracking shells of nuts comprising a first jaw and a second jaw, the jaws spaced apart and arranged to move together to compress a nut N between them, the first jaw arranged to slide on an arm to amend the spacing of the jaws, the second jaw arranged to be driven along the arm towards the first jaw by a driving mechanism; and a lever; the lever arranged to operate the driving mechanism and drive the second jaw along the arm towards the first jaw; the first jaw held by a user when the lever is pulled, characterized in that the first jaw comprises an elongate first jaw member with an intermediate perforation for passage of the arm, whereas the second jaw comprises an L-shaped part with a pinion arm parallel the arm and moving through the mechanism, and an orthogonally arranged jaw arm parallel the first jaw member."
10455962,2019,Device for cracking a shell of a food item,"A device is for cracking a shell of a food item. The device has a first plier, a second plier and a pivot rotatably connecting the first plier with the second plier for enabling the food item, when arranged between the pliers, to be compressed between the pliers by a rotation of the pliers towards each other. The device further comprises a lockable spacing arrangement having an acceleration dependent locking device adapted to permit the rotation of the two pliers towards each other if an acceleration of the rotation is below a threshold value and adapted to lock the rotation of the two pliers towards each other if the acceleration of the rotation is equal to or exceeding said threshold value."
10426297,2019,Powered nut cracker,"A powered nutcracker having a frame, a first nut cracking die mounted to the frame; and a displacement generator mounted to the frame which provides force to move the first nut cracking die to crack a nut."
9955822,2018,Adjustable nutcracker,"A plier's nutcracker includes a hand tightening screw mounted through a threaded hole on one handle of a plier type nutcracker at a position adjacent to nutcracker's pivotal connection. The engagement of this hand tighten screw through tightening and untightening regulates the pressure the nut or object to be crushed shall receive in a cracking operation. The pressure shall result in either large broken hull pieces or hand-breakable cracks on the hull or shell effectively eliminating the scattering of shells and hulls in the cracking operation while keeping the kernel in one whole piece or fewer big pieces. Additionally, the engagement of the hand tighten screw creates a safe distance between the nutcracker handles to prevent fingers from being pinched in a cracking operation."
10130217,2018,Nut cracker with mechanical advantage,"A nut cracking device with a frame having elongated, parallel members that surround a mechanical advantage device, such as a hydraulic jack. Top and bottom channel members are mounted at opposite ends of the frame members to separate the frame members and form a rigid frame structure. An anvil with texture to reduce slipping and increase pressure is mounted to the top member and extends toward the jack, on which a table is mounted. A nut may be placed on the table. Upon displacement of the jack's shaft, the table moves toward the anvil and any nut on the table is clamped, and ultimately fractured, between the table and the anvil. A hand-grippable knob permits manual bypass of a valve to permit the table to be pulled away from the anvil by springs mounted to the table."
9770136,2017,Hand-held inertia nutcracker,"A hand-held inertia nutcracker for removing shells from a variety of nuts. The nutcracker having multiple configurations according to user preference. The easy to use device allows for easy insertion of nuts and quick removal of the nut and shell material. The nut is automatically centered in the cracking chamber as it is inserted so that consistent performance is achieved. The nutcracker also automatically adjusts for a variety of types and sizes of nuts without operator intervention. The design allows for rapid repeatability in use, thereby taking most of the effort out of extracting the nut from the shell."
9282763,2016,Apparatus for removing hulls from nuts,"An apparatus for removing hulls from nuts includes a rotating drum with protrusions on its surface, a hulling plate and a separator plate. Rotation of the drum causes nuts deposited on an upper surface of the drum surface between the hulling plate and the separator plate to be impinged by the protrusions against the hulling plate, thereby removing the hulls and pushing the hulls through a hulling gap between the hulling plate and the upper surface of the drum, while the hulled nuts pass through a separator gap between the separator plate and the upper surface of the drum, thereby separating the hulled nuts."
9307867,2016,Fruit splitting device,"A fruit splitting device facilitates the process of splitting open a fruit, such as a coconut shell. The device includes a hoop having a first jaw and a second jaw pivotally coupled together for pivoting the hoop between an open position and a closed position. A first handle has a first end coupled to the hoop. A second handle has a first end being coupled to the hoop. A plurality of first teeth is coupled to an inner surface of the first jaw. The first teeth are spaced from each other. A plurality of second teeth is coupled to an interior surface of the second jaw. The second teeth are spaced from each other. The second teeth are positioned opposite the first teeth wherein the first and second teeth engage and split open a fruit when the first and second teeth exert pressure on the fruit."
9486110,2016,Nut disassembling device,"A nut disassembling device is provided, comprising an adjustment member, a support rod, a center pillar and two clamping blocks. The support rod is screwed with two tightening members. Each of the tightening members is rotatable relative to the support rod, and the clamping block is moved by the tightening member. Thus, during the clamping of the nut, the clamping blocks close and push the nut through rotation of the tightening members, and it effectively improves the clamping for installation and uninstallation of the nut."
9138014,2015,Apparatus for efficient nut cracking and method of using same,"An apparatus for and method of using the apparatus to crack hard shelled nuts. A pair of hollow cylindrical tubes, each having both a proximal and a distal end with a chamfer at the respective proximal ends may be axially aligned with one another with their proximal ends facing one another. A nut to be cracked may be placed between the proximal ends of the spaced apart hollow cylindrical tubes. A linear compressive force may be applied to the distal ends of the two hollow cylindrical tubes the shell of the nut cracks) i.e., separates the hard shelled nut exterior shell casing from interior nutmeat). The apparatus allows hard shelled nuts like black walnuts, to be cracked with minimal damage, such as fragmentation, of the nutmeat."
9113656,2015,Device for regulating and adjusting the position of rollers in peeling and      re-peeling machines for almonds and similar dried fruits,"A device for regulating and adjusting a distance between pairs of adjacent rollers in a peeling machine for almonds and similar dried fruits is provided, wherein the rollers are horizontally aligned at both sides of a central plane through which the product to be peeled is passed, the device including a movement transmission shaft coupled to each pair of adjacent rollers, a motor for operation of the movement transmission shaft, wherein the motor is coupled to one of the ends of the transmission shaft, a torque meter for measuring torque at various positions of the rollers, wherein the torque meter is coupled to a spin axis of at least one of the rollers in the pair, and a sensor for measuring and regulating a working distance between the rollers, wherein the sensor is coupled to at least the other roller in the pair."
9155424,2015,Nut opener,"A nut opener having a cup-like member that is generally aligned with a tooth member. As a handle portion of the nut opener is squeezed, the tooth member can abut against a nut placed within the cup-like member, and cause shells of the nuts to release from the nut."
9155425,2015,Nut opening device,"A culinary nut opening device can include a mount and a tool. The mount can be sized and shaped to securely and removably receive a finger or a thumb of a human user. The tool can extend from and be coupled to a portion of the mount. In varying examples, the tool can include a pick portion that is sized and shaped to fit at least partially within an opening of a culinary nut and have sufficient stiffness to allow the culinary nut to be pried open. A pick portion can extend ventrally, laterally, or dorsally from a side of the mount, or from a distal end of the mount. A culinary nut opening device can be provided with or packaged in a container of culinary nuts, or with other culinary nut opening devices (e.g., of different sizes), or with instructions for use."
9138015,2015,Nut shell removal system and method,"A device and method for shelling nuts. The device may be attached to a belt sander. The device includes a hopper into which the nuts are initially placed. Two large threaded fasteners on the central portion are used to adjust the system for the size of nut being shelled. A bracket placed behind the central portion attaches the device to the sander. The rotating belt brings the nut down to a lower opening formed to be just smaller than the shell of the nut being shelled. As the shell of the nut is caused to pass through this opening, the shell cracks. The nut with the cracked shell now impacts on one or more strike plates. These impacts further propagate the cracks formed in the shell so that the fragmented shells fall away from the nut. The nut and the cracked shells fall into the collection bag."
9125527,2015,Nutcracker,"A nutcracker preferably includes a cracker unit, a support structure and a hand held base. The cracker unit preferably includes a support base, a crank unit, a nut base and a pair of jaws. The support base is slidably engaged with the nut base through a pair of guide rods. The pair of jaws are attached to the support base and nut bases. The crank unit preferably includes a lead screw, a ratchet mechanism and a crank arm. A lead screw retainer is retained on the support base and pivotally retains the lead screw. The lead screw nut is retained on the nut base and threadably receives the lead screw. A bottom of the support structure is attached to the hand held base and the nut base plate is attached to a top of the support structure."
9021945,2015,Shell cracking and retaining device,"A shell cracking and retaining device for cracking shelled food products, wherein the device entirely or substantially retains food, shell portions and other debris during the cracking process, and therefore prevents said food, shell portions and other debris from being sent airborne from the device."
8943955,2015,Shelling-separating machine especially for almonds and other soft-shelled      nuts,"A shelling-separating machine for almonds and other soft-shelled nuts is provided incorporating operational and functional features which ensure the obtaining of the kernel in optimal conditions, while at the same time allowing for an effective separation of the almonds and other hard-shelled nuts that may accompany the soft-shelled nuts. At the inlet end, the machine provides a device for continuously feeding the product for the purpose of eliminating obstructions inside such machine. At the outlet end, the machine provides a retaining device which can be manually or automatically actuated and which keeps the outlet closed in order to retain the non-shelled product until the operational conditions recommend the actuation and opening of such retaining device to allow the non-shelled product to exit the machine, preferably by the overflow with respect to a previously established level."
8819941,2014,Nut opening apparatus,A monolithic nut opening apparatus includes a hinge portion forming a rearward end. A first elongated arm and a second elongated arm longitudinally extend towards a forward end from opposing ends of the hinge portion. A first tip extends from the first elongated arm and at least one upward extending lateral tapered edge extending from the first tip. A second tip extends from the second elongated arm and at least one downward extending lateral tapered edge extending from the second tip.
8776677,2014,Nut shelling machine and method,"A nut shelling apparatus and method for the shelling of nuts such as chinquapins and chestnuts without substantially damaging the meat of the nuts. The nut shelling machine utilizes a combination of the inertia of the nut and a planar rotating cutting disc, such as one with a layer of aluminum oxide abrasive material, to cut the shell of the nut in a series of small cuts. The rotating abrasive disc utilizes the resistive inertia of the nuts to launch the nut in an upward direction and causing the nuts to fall onto the abrasive surface to repeatedly cut the shells. The repeated cutting action results in removal of a substantial amount of the shell in a short period of time while at the same time minimizing damage to the meat of the nut."
8833685,2014,Universal nutcracker,The Universal Nutcracker is set of jaws with an increasing opening between top and bottom jaws to allow for cracking different diameter nuts connected by a set of linkages. Each jaw has a set of teeth for gripping the shell of the nut to be cracked. A torsion spring is connected between the top and bottom center lever to assist in opening the jaw set after the nut has been cracked. Ends of top and bottom center levers are then coupled to a scissoring arms with linkage assembly for opening and closing with a mechanical advantage.
8522676,2013,Gravity-induced impact nutcracker,"A gravity-induced impact-type nutcracker with a self-guided trip hammer that, upon actuation, drops solely via the force of gravity to strike a nut supported within a nut cracking chamber with a consistently guided uniform force. The helve of the hammer is pivotally supported adjacent its rear end between a pair of upstanding guide columns. A cord connected to the rear of the hammer helve is attached to a freewheeling take-up spool which is releasably engagable by a hand crank drive wheel to facilitate raising the hammer head to a set position prior to releasing the same. Continued rotation of the crank causes a release mechanism connected to the rear of the hammer helve to disengage the take-up spool from the drive wheel, thereby releasing and allowing the hammer to drop under its own weight. The cracking chamber which holds the nut includes a removable drawer with a variety of differently sized nut-retaining cavities formed therein for accommodating a variety of different types and sizes of nuts. The impact nutcracker is constructed primarily of wood with an aesthetically pleasing and unique appearance."
8601942,2013,Pecan nut meat extractor,"A pecan nut meat preferably for use with pecans, extractor includes a hollow frusto-conical segment journalled about an axial drive shaft, the segment having a minor upper base and a major lower base, the upper and lower bases each defining unitary surfaces for precluding access to a hollow interior of the segment, the segment including a frusto-conical lateral surface between its upper and lower bases, the lateral surface including a multiplicity of splines having interdigitating spaces similar in polar separation to that of the splines. The extractor also includes a hollow cylinder proportioned for symmetrical containment of the frusto-conical segment below and about it, including elements for securing the cylinder during rotation of the frusto-conical segment, an Interior surface of the cylinder opposing the lateral surface of the conical segment and defining a pattern of protrusions for interaction with shells of nuts provided to the extractor between the surface of the conical segment and the interior surface of the cylinder. The interaction and associated pressure on shells of the nuts increases as a function of axial downward advance of nuts fed into an upper interstitial annular region between the upper base and an upper area of the interior of the hollow cylinder. Pressure upon shells of the nuts increases as a function of advance thereof the lower base until the nuts are cracked, the cylinder bottom including an exit chute permitting release of cracked nuts from the cylinder."
8387260,2013,Pistachio nut opener,"A handheld pistachio nut opener that is box-shaped comprising an upper and lower piece, each with one protrusion that are oriented vertically but aligned horizontally and inserted into an open or partially open pistachio nut, and through manual compression of the apparatus between the thumb and forefinger, the protrusions travelling in opposite directions through translational vertical motion while remaining engaged with the pistachio nut shell halves until the shell halves break apart into two disjoined pieces revealing the edible portion inside, the arcs of the protrusions protecting the edible portion from being damaged."
8201494,2012,High production nut cracking apparatus,A nut cracking apparatus includes a rotatable turret mounted to a frame. An endless conveyor delivers nuts to a pickup point at which nut cracking units engage nuts carried by the endless conveyor. The endless conveyor has a generally horizontal carrying portion for carrying nuts from the hopper to the pickup point.
8273396,2012,Nut cracking device,"The hard shells or hulls of whole nuts are effectively cracked and separated from the nut meat by propelling and impacting the whole nuts at a predetermined trajectory velocity against an adjustable impacting plate set at the appropriate impacting angle. By controlling the manner in which the whole nuts impact against the impacting plate, the fracturing of the hard shell may be controlled so as to optimize the whole nut meat recovery while minimizing the production of split nut meats. A variable speed impeller in combination with adjustability of the impacting plate optimizes the nut cracking and nut meat separation for any type of whole nut. An orderly sequential feed of whole nuts to an off-set feed zone of rotating impellers equipped with vanes having a catching section and an accelerating section at a regulated rotational speed effectively propels the whole nuts against the adjustable impacting plate."
